Date,AAPL
1980-12-12,0.09905774146318436
1980-12-15,0.09388983249664307
1980-12-16,0.08699852228164673
1980-12-17,0.0891517847776413
1980-12-18,0.0917365625500679
1980-12-19,0.09733512252569199
1980-12-22,0.10207238048315048
1980-12-23,0.10637975484132767
1980-12-24,0.11197828501462936
1980-12-26,0.12231486290693283
1980-12-29,0.12403745204210281
1980-12-30,0.12102292478084564
1980-12-31,0.11757763475179672
1981-01-02,0.11886964738368988
1981-01-05,0.11628569662570953
1981-01-06,0.1111169308423996
1981-01-07,0.10637975484132767
1981-01-08,0.10422642529010773
1981-01-09,0.1098250225186348
1981-01-12,0.10896366834640503
1981-01-13,0.10508774220943451
1981-01-14,0.1055183932185173
1981-01-15,0.10767173022031784
1981-01-16,0.10681040585041046
1981-01-19,0.11327021569013596
1981-01-20,0.1098250225186348
1981-01-21,0.11197828501462936
1981-01-22,0.11327021569013596
1981-01-23,0.11283957213163376
1981-01-26,0.1111169308423996
1981-01-27,0.1102556586265564
1981-01-28,0.10681040585041046
1981-01-29,0.10293439775705338
1981-01-30,0.09733512252569199
1981-02-02,0.0917365625500679
1981-02-03,0.09518181532621384
1981-02-04,0.09862709045410156
1981-02-05,0.09862709045410156
1981-02-06,0.09905774146318436
1981-02-09,0.09388983249664307
1981-02-10,0.09388983249664307
1981-02-11,0.09087523072957993
1981-02-12,0.09001312404870987
1981-02-13,0.08785983175039291
1981-02-17,0.09001312404870987
1981-02-18,0.09388983249664307
1981-02-19,0.0882904902100563
1981-02-20,0.0835532695055008
1981-02-23,0.08484522253274918
1981-02-24,0.08183058351278305
1981-02-25,0.08699852228164673
1981-02-26,0.0882904902100563
1981-02-27,0.09130588918924332
1981-03-02,0.0917365625500679
1981-03-03,0.09044456481933594
1981-03-04,0.08958243578672409
1981-03-05,0.0891517847776413
1981-03-06,0.0882904902100563
1981-03-09,0.08139996230602264
1981-03-10,0.07752325385808945
1981-03-11,0.07450862228870392
1981-03-12,0.07752325385808945
1981-03-13,0.07666192948818207
1981-03-16,0.07967731356620789
1981-03-17,0.0835532695055008
1981-03-18,0.08872116357088089
1981-03-19,0.08785983175039291
1981-03-20,0.08872116357088089
1981-03-23,0.09216716140508652
1981-03-24,0.0917365625500679
1981-03-25,0.09001312404870987
1981-03-26,0.0882904902100563
1981-03-27,0.08527591079473495
1981-03-30,0.08527591079473495
1981-03-31,0.08441456407308578
1981-04-01,0.0835532695055008
1981-04-02,0.09087523072957993
1981-04-03,0.09130588918924332
1981-04-06,0.08958243578672409
1981-04-07,0.08872116357088089
1981-04-08,0.09302850067615509
1981-04-09,0.09475114941596985
1981-04-10,0.09604311734437943
1981-04-13,0.09604311734437943
1981-04-14,0.09604311734437943
1981-04-15,0.09130588918924332
1981-04-16,0.08613720536231995
1981-04-20,0.08872116357088089
1981-04-21,0.09475114941596985
1981-04-22,0.09819641709327698
1981-04-23,0.10078039020299911
1981-04-24,0.09991908818483353
1981-04-27,0.09905774146318436
1981-04-28,0.09733512252569199
1981-04-29,0.09604311734437943
1981-04-30,0.09776578098535538
1981-05-01,0.09776578098535538
1981-05-04,0.09733512252569199
1981-05-05,0.09690447151660919
1981-05-06,0.09432048350572586
1981-05-07,0.09561247378587723
1981-05-08,0.0964737981557846
1981-05-11,0.09432048350572586
1981-05-12,0.09432048350572586
1981-05-13,0.09388983249664307
1981-05-14,0.09259787201881409
1981-05-15,0.09475114941596985
1981-05-18,0.0964737981557846
1981-05-19,0.09475114941596985
1981-05-20,0.09776578098535538
1981-05-21,0.10336508601903915
1981-05-22,0.10810230672359467
1981-05-26,0.10767173022031784
1981-05-27,0.11370090395212173
1981-05-28,0.11370090395212173
1981-05-29,0.11413165926933289
1981-06-01,0.11413165926933289
1981-06-02,0.10853298008441925
1981-06-03,0.10853298008441925
1981-06-04,0.1106862872838974
1981-06-05,0.10896366834640503
1981-06-08,0.10508774220943451
1981-06-09,0.10724101960659027
1981-06-10,0.10853298008441925
1981-06-11,0.11327021569013596
1981-06-12,0.11197828501462936
1981-06-15,0.11154764145612717
1981-06-16,0.10939431190490723
1981-06-17,0.10767173022031784
1981-06-18,0.10724101960659027
1981-06-19,0.10422642529010773
1981-06-22,0.10034970194101334
1981-06-23,0.10207238048315048
1981-06-24,0.09948839247226715
1981-06-25,0.10164165496826172
1981-06-26,0.10034970194101334
1981-06-29,0.09690447151660919
1981-06-30,0.08958243578672409
1981-07-01,0.08872116357088089
1981-07-02,0.08872116357088089
1981-07-06,0.08570651710033417
1981-07-07,0.08656787127256393
1981-07-08,0.09001312404870987
1981-07-09,0.08312259614467621
1981-07-10,0.07666192948818207
1981-07-13,0.07838533073663712
1981-07-14,0.08183058351278305
1981-07-15,0.08398392796516418
1981-07-16,0.08613720536231995
1981-07-17,0.0891517847776413
1981-07-20,0.08312259614467621
1981-07-21,0.08269195258617401
1981-07-22,0.07795389741659164
1981-07-23,0.08010802417993546
1981-07-24,0.08269195258617401
1981-07-27,0.08613720536231995
1981-07-28,0.08312259614467621
1981-07-29,0.08183058351278305
1981-07-30,0.08484522253274918
1981-07-31,0.08613720536231995
1981-08-03,0.08527591079473495
1981-08-04,0.08656787127256393
1981-08-05,0.0891517847776413
1981-08-06,0.08699852228164673
1981-08-07,0.08699852228164673
1981-08-10,0.08699852228164673
1981-08-11,0.08441456407308578
1981-08-12,0.08269195258617401
1981-08-13,0.08010802417993546
1981-08-14,0.0788159966468811
1981-08-17,0.07623126357793808
1981-08-18,0.07450862228870392
1981-08-19,0.07364732772111893
1981-08-20,0.07450862228870392
